Fecha,Ciudad,Campaña,Categoría,Producto,Talla,Color,Unidades_Vendidas,Precio_Unitario,Ingresos,Devolución
2025-01-10,Bilbao,Rebajas,Chaquetas,Anorak,44,Gris,3,120,360,Sí
2025-01-26,Donostia,Publicidad,Chaquetas,Anorak,XL,Negro,1,120,120,No
2025-01-23,Donostia,Rebajas,Chaquetas,Plumífero,40,Rojo,1,150,150,No
2025-01-27,Pamplona,Publicidad,Sportwear,Térmica,42,Gris,1,55,55,Sí
2025-01-01,Bilbao,Publicidad,Calzado,Zapatillas,42,Azul,2,75,150,Sí
2025-01-02,Pamplona,Rebajas,Sportwear,Térmica,S,Blanco,3,55,165,Sí
2025-01-10,Donostia,Publicidad,Jerseys,Chaqueta de Lana,40,Rojo,2,130,260,Sí
2025-01-01,Vitoria,Rebajas,Sportwear,Camisetas,44,Gris,3,30,90,Sí
2025-01-27,Vitoria,Rebajas,Chaquetas,Anorak,44,Azul,4,120,480,No
2025-01-23,Donostia,Publicidad,Calzado,Botas,42,Negro,4,110,440,Sí
2025-01-09,Bilbao,Rebajas,Calzado,Sandalias,M,Gris,4,40,160,No
2025-01-02,Pamplona,Publicidad,Jerseys,Forro Polar,M,Rojo,1,80,80,Sí
2025-01-23,Vitoria,Rebajas,Jerseys,Forro Polar,S,Azul,2,80,160,No
2025-01-05,Vitoria,Rebajas,Sportwear,Camisetas,XL,Rojo,1,30,30,Sí
2025-01-15,Bilbao,Rebajas,Chaquetas,Anorak,XL,Blanco,1,120,120,No
2025-01-02,Donostia,Rebajas,Calzado,Botas,XL,Gris,4,110,440,Sí
2025-01-06,Donostia,Publicidad,Calzado,Zapatillas,38,Azul,4,75,300,Sí
2025-01-26,Bilbao,Publicidad,Calzado,Sandalias,XL,Negro,2,40,80,Sí
2025-01-23,Pamplona,Publicidad,Calzado,Botas,M,Rojo,4,110,440,Sí
2025-01-13,Bilbao,Publicidad,Jerseys,Forro Polar,M,Verde,2,80,160,Sí
2025-01-20,Pamplona,Publicidad,Calzado,Sandalias,40,Gris,1,40,40,Sí
2025-01-24,Donostia,Publicidad,Sportwear,Camisetas,40,Negro,3,30,90,Sí
2025-01-11,Pamplona,Publicidad,Calzado,Sandalias,38,Verde,2,40,80,Sí
2025-01-19,Bilbao,Publicidad,Sportwear,Mallas,L,Rojo,1,45,45,No
2025-01-27,Vitoria,Rebajas,Pantalones,Montaña,S,Gris,3,90,270,Sí
2025-01-14,Donostia,Rebajas,Jerseys,Forro Polar,40,Rojo,2,80,160,Sí
2025-01-20,Bilbao,Rebajas,Calzado,Zapatillas,XL,Azul,2,75,150,Sí
2025-01-17,Bilbao,Rebajas,Jerseys,Forro Polar,XL,Verde,4,80,320,No
2025-01-05,Vitoria,Rebajas,Jerseys,Forro Polar,L,Azul,5,80,400,No
2025-01-13,Donostia,Publicidad,Calzado,Sandalias,40,Gris,5,40,200,Sí
2025-01-23,Donostia,Publicidad,Pantalones,Chándal,40,Gris,5,60,300,Sí
2025-01-17,Bilbao,Rebajas,Pantalones,Montaña,L,Azul,3,90,270,No
2025-01-24,Vitoria,Rebajas,Sportwear,Mallas,40,Verde,2,45,90,No
2025-01-07,Bilbao,Rebajas,Calzado,Sandalias,S,Verde,5,40,200,No
2025-01-20,Bilbao,Rebajas,Chaquetas,Plumífero,L,Negro,2,150,300,Sí
2025-01-25,Bilbao,Rebajas,Pantalones,Montaña,40,Rojo,4,90,360,No
2025-01-27,Donostia,Rebajas,Sportwear,Camisetas,S,Blanco,5,30,150,No
2025-01-27,Bilbao,Publicidad,Calzado,Botas,XL,Gris,5,110,550,Sí
2025-01-09,Vitoria,Rebajas,Calzado,Botas,XL,Blanco,2,110,220,No
2025-01-22,Vitoria,Rebajas,Sportwear,Camisetas,42,Gris,2,30,60,No
2025-01-15,Bilbao,Publicidad,Calzado,Botas,42,Gris,4,110,440,No
2025-01-04,Vitoria,Publicidad,Jerseys,Forro Polar,40,Rojo,1,80,80,Sí
2025-01-25,Pamplona,Rebajas,Chaquetas,Anorak,42,Verde,5,120,600,Sí
